Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
Kisah Tanah Jawa: Merapi;2019;18+; Horror            ;43 min;7,8;37;Faozan Rizal;Deva Mahenra;Joshua Suherman;Laura Basuki;Laura Theux
Negeri Dongeng;2017;SU; Documentary            ;98 min;8,9;8;Anggi Frisca;;N/A;N/A;N/A
Workingman's Death;2005;13+; Documentary            ;122 min;7,9;1,757;Michael Glawogger;;N/A;N/A;N/A
Magic Hour;2015;18+; Comedy, Drama            ;96 min;8,7;6;Asep Kusdinar;Dimas Anggara;Michelle Ziudith;Rizky Nazar;Nadya Arina
Jakarta Love Story;2015;13+; Romance            ;50 min;;;Vemmy Sagita;Irish Bella;Rezky Adhitya;Rionaldo Stockhorst;Mischa Chandrawinata
Homebound;2022;13+; Documentary, Short            ;10 min;;;Ismail Fahmi Lubish;;N/A;N/A;N/A
Cherrybelle: Chibi Chibi Burger;2012;13+; Drama           ;;;;Akbar de Wighar;Cherly Yuliana Anggraini;Margareth Angelina;Brigitta Cynthia;Jessyca Stefani Auryn
RONG (Hole);2018;SU; Short, Drama, Family            ;35 min;;;Sri Nugroho;;N/A;N/A;N/A
Srimulat: Hil yang Mustahal - Babak Kedua;2022;SU; Biography, Comedy, Drama            ;110 min;;;Fajar Nugros;;N/A;N/A;N/A
Before You Eat;2022;18+; Documentary            ;96 min;;;Kasan Kurdi;;N/A;N/A;N/A
Once Upon a Time in Chinatown;2021;SU; Documentary            ;;9,4;8;Zack Lee;Tirta Lie;Zack Lee;Lie Tek Kwie;N/A
Joko;2017;SU; Short, Drama            ;21 min;;;Suryo Adhi Wiyogo;;N/A;N/A;N/A
Xabi: A Phantasmagoric Adventure;2021;SU; Short            ;25 min;;;Nosa Normanda;;N/A;N/A;N/A
Fairish the Series;2005;13+; Drama            ;;;;Nadia Edward;;N/A;N/A;N/A
A Boarding School;2019;SU; Documentary            ;105 min;;;Shalahuddin Siregar;;N/A;N/A;N/A
Cowboys in Paradise;2009;SU; Documentary, News            ;83 min;7,6;67;Amit Virmani;;N/A;N/A;N/A
Panah Asmara Arjuna;2014;13+; Reality-TV            ;45 min;8,7;20;Shaheer Sheikh;;N/A;N/A;N/A
Pamurba Yatmaka Cakra Bhirawa;2015;SU; Documentary            ;45 min;;;Kamerad Edmond;;N/A;N/A;N/A
Jalanan;2013;SU; Documentary, Drama, Music            ;108 min;8;192;Daniel Ziv;;N/A;N/A;N/A
The Sako Tapes;2019;SU; Documentary, Drama, History            ;74 min;8,5;15;Machiel van den Heuvel;;N/A;N/A;N/A
Black Winter;2021;SU; Animation, Short            ;7 min;;;Noviandra Santosa;;N/A;N/A;N/A
Position Among the Stars;2010;SU; Documentary, History            ;115 min;7,9;299;Leonard Retel Helmrich;;N/A;N/A;N/A
Toilet Blues;2012;SU; Drama            ;87 min;5,9;20;Dirmawan Hatta;;N/A;N/A;N/A
December;2015;SU; Short, Drama            ;28 min;7,2;5;Sidharta Tata;;N/A;N/A;N/A
Jalanin Aja;2017;SU; Short, Drama            ;12 min;;;Joko Anwar;;N/A;N/A;N/A
Girls for Future;2021;SU; Documentary            ;88 min;;;Irja von Bernstorff;;N/A;N/A;N/A
Salah;2010;SU; Short, Drama            ;10 min;;;Icang Rizal Rakhmandar;;N/A;N/A;N/A
The Unseen Words;2017;SU; Documentary, Short            ;27 min;;;Wahyu Utami;;N/A;N/A;N/A
Single and Hopefully Happy;2015;SU; Drama            ;;;;Kho Michael;;N/A;N/A;N/A
Tales of the Waria;2011;13+; Documentary, Romance            ;57 min;7,5;16;Kathy Huang;;N/A;N/A;N/A
Sunya;2016;13+; Drama, Fantasy, Mystery            ;88 min;8,8;13;Hari Suhariyadi;;N/A;N/A;N/A
Prison and Paradise;2010;17+; Documentary            ;93 min;;;Daniel Rudi Haryanto;;N/A;N/A;N/A
Menerobos Batas;2000;SU; Documentary, Short            ;17 min;;;Wahyu Utami;;N/A;N/A;N/A
Once Upon a Time in Yogyakarta;2017;SU; Short, Drama            ;12 min;;;Dwi Saputro;;N/A;N/A;N/A
Dream Chasers: Garuda Select;2018;SU; Short            ;12 min;;;Dennis Wise;;N/A;N/A;N/A
Renita, Renita;2007;SU; Short            ;16 min;;;Tonny Trimarsanto;;N/A;N/A;N/A
Angin kemarau;2003;SU; Short            ;16 min;;;Lono Abdul Hamid;;N/A;N/A;N/A
Go Local or Go Home;2020;SU; Adventure, Comedy, Reality-TV            ;25 min;;;Mentari De Marelle;;N/A;N/A;N/A
Help is on the Way;2020;SU; Documentary            ;91 min;7,5;13;Ismail Fahmi Lubish;;N/A;N/A;N/A
Where Heaven Meets Hell;2013;SU; Documentary, Drama, Family            ;80 min;7,2;19;Sasha Friedlander;;N/A;N/A;N/A
Dluwang: the Past from the Trash;2017;SU; Documentary, Short            ;20 min;;;Agni Tirta;;N/A;N/A;N/A
Detik Dan Waktu (Selepas Pandemi);2022;SU; Documentary, Short            ;20 min;;;Abraham Abdiel Arya Putra Yudianto;;N/A;N/A;N/A
After 12 Years;2016;SU; Short, Documentary            ;12 min;;;Yuda Kurniawan;;N/A;N/A;N/A
The Conversion of a Terrorist;2000;SU; Documentary, Short, Biography            ;28 min;;;Damien Dematra;;N/A;N/A;N/A
Legacy of Java;2020;SU; Documentary            ;;;;Budi Kurniawan;;N/A;N/A;N/A
Si Anak Kampoeng (the Village Boy);2011;SU; Drama            ;105 min;;;Damien Dematra;;N/A;N/A;N/A
Tim Bui (The Team) - Indonesia;2012;13+; Drama            ;;;;Sugeng Wahyudi;Agus Kuncoro;Rio Alba;Richard Alino;Daffi Ariangga
Jakarta Unfair;2016;SU; Documentary            ;;;;Dhuha Ramadhani;;N/A;N/A;N/A
Anima Si Nopal;2019;TV-PG; Comedy            ;;;;Nadiah Rifatum Mumtaz;;N/A;N/A;N/A
Frontier Sumatra;2019;SU; Documentary            ;60 min;;;Chris Baron;;N/A;N/A;N/A
Who the Fuck Is Ismail Basbeth?;2012;SU; Short, Drama            ;4 min;;;Ismail Basbeth;;N/A;N/A;N/A
Serangan Oemoem (Bro Dragon, the City is Under Attack!);2022;SU; Animation, Short            ;14 min;;;Fajar Martha Santosa;;N/A;N/A;N/A
Pool;2007;SU; Short            ;14 min;5,3;10;Chris Chan Fui Chong;;N/A;N/A;N/A
The Shutter of Death;2018;18+; Short, Action, Crime            ;9 min;;;Lies Nanci Supangkat;;N/A;N/A;N/A
A moment before eternal slumbers;2018;SU; Short            ;12 min;;;Bela Nabila;;N/A;N/A;N/A
The Peace Agency;2018;SU; Documentary            ;92 min;;;Sue Useem;;N/A;N/A;N/A
Istri Orang;2019;13+; Drama            ;99 min;;;Dirmawan Hatta;;N/A;N/A;N/A
Merged with the ground;2018;13+; Short, Adventure, Drama            ;19 min;;;Imam Syafi'I;;N/A;N/A;N/A
Asa;2020;13+; Short, Drama            ;20 min;;;Loeloe Hendra Komara;;N/A;N/A;N/A
Journalism for Dummies;2021;13+; Documentary, Short            ;17 min;;;Hadafi Raihan Karim;;N/A;N/A;N/A
The Floating Chopin;2016;13+; Short, Drama            ;11 min;7;6;Wregas Bhanuteja;;N/A;N/A;N/A
Cinderella: Apakah Cinta Hanya Mimpi?;2007;13+; Drama            ;60 min;5,6;11;Mukta Dhond;Cinta Laura;Galih Ginanjar;Rezky Aditya;Kiki Farrel
Before Morning Comes;2016;13+; Short, Drama            ;15 min;8,8;5;Asaf Kharisma;;N/A;N/A;N/A
Agave Amica;2022;SU; Short, Documentary            ;14 min;;;Gembong Nusantara;;N/A;N/A;N/A
Labirin Lembusora;2022;SU; Animation, Short            ;16 min;;;Gugun Arief;;N/A;N/A;N/A
Kiwa;2019;13+; Short, Drama            ;16 min;;;Loeloe Hendra Komara;;N/A;N/A;N/A
Love Paper;2012;13+; Short, Drama            ;8 min;;;Bambang 'Ipoenk' K.M.;;N/A;N/A;N/A
The Ballads of Cinema Lovers;2017;13+; Documentary            ;104 min;;;Yuda Kurniawan;;N/A;N/A;N/A
Jakarta Disorder;2013;13+; Documentary, Drama            ;88 min;8,6;14;Ascan Breuer;;N/A;N/A;N/A
Morning Without the Sun (2016);2016;SU; Short, Drama, Family            ;22 min;8,2;8;Andree Sascha;;N/A;N/A;N/A
Dancing for the Gods;2018;SU; Documentary, Short            ;22 min;;;Jelena Vuksanovic;;N/A;N/A;N/A
Fun Cooking;2012;SU; Documentary;30 min;;;Hiromitsu Harada;;N/A;N/A;N/A
Nyanyian Akar Rumput;2018;SU; Documentary            ;112 min;;;Yuda Kurniawan;;N/A;N/A;N/A
Love is Trap;2016;13+; Short, Drama            ;14 min;;;Hanung Bramantyo;;N/A;N/A;N/A
Omdat wij mooi waren;2010;13+; Documentary, History, War            ;61 min;7,3;7;Frank van Osch;;N/A;N/A;N/A
Posko Palu;2019;SU; Documentary, Short            ;11 min;;;Tim Barretto;;N/A;N/A;N/A
Subaja;2021;13+; Short, Action            ;14 min;;;Dinar Safari;;N/A;N/A;N/A
Lembusura;2015;13+; Short, Drama            ;10 min;7,7;9;Wregas Bhanuteja;;N/A;N/A;N/A
Bride's Slave;2018;13+; Short, Crime, Drama            ;7 min;;;Lies Nanci;;N/A;N/A;N/A
Bermain di antara gajah-gajah;2007;SU; Documentary            ;;;;Aryo Danusiri;;N/A;N/A;N/A
A l i v e;2011;13+; Short, Thriller            ;10 min;;;Adhitya Insan;;N/A;N/A;N/A
7 Words;2017;13+; Documentary, Short, Drama            ;22 min;;;Mochamad Bayu;;N/A;N/A;N/A
The Puppeteer;2017;SU; Documentary, Short, Biography            ;5 min;;;Inaya Graciana Yusuf;;N/A;N/A;N/A
Deep Memories;2018;13+; Short, Drama, History            ;24 min;;;Zhaddam Aldhy Nurdin;;N/A;N/A;N/A
Followed;2016;13+; Short, Horror            ;18 min;;;Ananda Wishnu Mukti;;N/A;N/A;N/A
Saat menyatakan cinta;2001;13+; Short, Drama            ;12 min;;;Eric Gunawan;;N/A;N/A;N/A
Our School, Our Life;2008;SU; Documentary, Short            ;10 min;;;Steve Pillar Setiabudi;;N/A;N/A;N/A
Voice From The Coast;2017;13+; Short, Drama            ;25 min;;;Susilo Raharjo;;N/A;N/A;N/A
The Paintings of War: Aggression in the Eyes of Children;2017;SU; Documentary, Short            ;29 min;;;Agustinus Dwi Nugroho;;N/A;N/A;N/A
Irama hari;2008;SU; Documentary, Short            ;9 min;;;Steve Pillar Setiabudi;;N/A;N/A;N/A
Sudejo: The Middle Man;2019;SU; Documentary, Short            ;16 min;;;Jacinta Filiaci;;N/A;N/A;N/A
Pesantren's Way of Dakwah;2016;SU; Documentary, Short            ;37 min;;;Yuda Kurniawan;;N/A;N/A;N/A
Joko & Putra;2022;SU; Documentary, Short            ;15 min;;;Jeissy Trompiz;;N/A;N/A;N/A
I Love Manchester United and My Veil;2010;SU; Short, Comedy, Drama            ;13 min;;;Fazrie Permana;;N/A;N/A;N/A
Ojek Lusi;2017;SU; Documentary, Short            ;17 min;;;Winner Wijaya;;N/A;N/A;N/A
Kumohon, Cintailah Aku!;2010;SU; Animation, Short            ;17 min;;;Wurry Parluten;;N/A;N/A;N/A
Sacrificing Hundreds of Buffalo for One Funeral in Indonesia;2016;SU; Documentary, Short            ;17 min;;;Jonathan Vit;;N/A;N/A;N/A
Kasiterit;2019;SU; Short            ;18 min;6;8;Riar Rizaldi;;N/A;N/A;N/A
Dari Rumah Untuk Indonesia;2020;SU; Documentary, Short            ;18 min;;;Miky Havis;;N/A;N/A;N/A
Di balik senyum kecilmu;2020;13+; Short, Drama            ;12 min;;;Dngrt Furi;;N/A;N/A;N/A
Silence;2018;SU; Documentary, Short            ;16 min;;;Riani Singgih;;N/A;N/A;N/A
Hanya Karena;2018;13+; Short, Drama            ;5 min;;;Muhammad Adib Safwan;;N/A;N/A;N/A
The Drown Sea;2007;SU; Documentary            ;94 min;;;Yuslam Fikri Anshari;;N/A;N/A;N/A
50:50;2019;SU; Documentary, Short            ;14 min;;;Rofie Nur Fauzi;;N/A;N/A;N/A
Kamu di Kanan Aku Senang;2013;13+; Short, Drama, Romance            ;7 min;8,2;6;B.W. Purba Negara;;N/A;N/A;N/A
Mak Itam and Me;2009;13+; Documentary, Short, Drama            ;30 min;;;Ricky Avenzora;;N/A;N/A;N/A
Dapur Campur;2008;SU; Reality-TV            ;;;;Derk Visser;;N/A;N/A;N/A
05:55;2014;13+; Short, Drama            ;13 min;;;Tiara Kristiningtyas;;N/A;N/A;N/A
LoveRain;2021;SU; Short, Music            ;13 min;;;Khalil Gibran HSB;;N/A;N/A;N/A
Promised Paradise;2007;SU; Documentary            ;52 min;;;Leonard Retel Helmrich;;N/A;N/A;N/A
Palm Oil's Vice Grip on Natives;2020;SU; Documentary, Short            ;13 min;;;Ashlei Payne;;N/A;N/A;N/A
Masked Monkey: The Evolution of Darwin's Theory;2014;SU; Documentary            ;110 min;7;7;Ismail Fahmi Lubish;;N/A;N/A;N/A
Makan siang di hari jumat;2008;SU; Documentary, Short            ;8 min;;;Ariani Djalal;;N/A;N/A;N/A
Mesin Langit;2019;SU; Short, Drama            ;13 min;;;Rizal Hainun;;N/A;N/A;N/A
Tato;2003;13+; Drama;120 min;;;Hanny Saputra;;N/A;N/A;N/A
The Dogs;2019;13+; Drama            ;70 min;;;Dean Yamada;;N/A;N/A;N/A
Har;2018;13+; Short, Drama, Family            ;19 min;;;Luhki Herwanayogi;;N/A;N/A;N/A
Don't Open;2019;13+; Short, Horror            ;15 min;;;Jovan Arvisco;;N/A;N/A;N/A
Ketok;2003;SU; Documentary, Short            ;6 min;;;Tintin Wulia;;N/A;N/A;N/A
Semua Pergi;2021;13+; Short, Drama            ;19 min;;;Sahrul Alfarizi;;N/A;N/A;N/A
Harmoni;2015;13+; Short, Drama            ;19 min;;;Roland Wiryawan;;N/A;N/A;N/A
Di balik senyum kecilmu;2020;13+; Short, Drama            ;19 min;;;Dngrt Furi;;N/A;N/A;N/A
Terlena: Breaking of a Nation;2004;SU; Documentary            ;89 min;;;Andre Vltchek;;N/A;N/A;N/A
Stopover: Jakarta;2015;SU; Reality-TV            ;;;;Hannah Al Rashid;;N/A;N/A;N/A
Bolt Out of the Blue;2018;SU; Short, Drama            ;19 min;;;Eliza Cheisa;;N/A;N/A;N/A
The Waria of Java;2019;SU; Documentary, Short            ;13 min;;;Ana González;;N/A;N/A;N/A
Belrusak;2020;SU; Documentary, Short            ;13 min;;;Hanindito Buwono;;N/A;N/A;N/A
Children of Mud;2009;SU; Short, Drama            ;23 min;;;Danial Rifki;;N/A;N/A;N/A
Lagu damai saudaraku;2001;SU; Documentary, Short            ;18 min;;;Hartawan Triguna;;N/A;N/A;N/A
The Jakarta Project - Where is Home;2018;SU; Short            ;9 min;;;Shankar Addi Mehra;;N/A;N/A;N/A
Join the Story - Thousand Islands;2019;SU; Documentary, Short            ;4 min;;;Shankar Addi Mehra;;N/A;N/A;N/A
Mendengar Senyuman (Listening to a Smile);2017;SU; Short            ;9 min;;;Carya Maharja;;N/A;N/A;N/A
The New Eat Bulaga! Indonesia;2016;SU; Reality-TV            ;45 min;;;Shaheer Sheikh;;N/A;N/A;N/A
Setelah 15 Tahun...;2013;SU; Documentary            ;93 min;5,5;11;Tino Saroengallo;;N/A;N/A;N/A
Little Bo in London;2014;13+; Short, Drama            ;5 min;;;Ryan Monoarfa;;N/A;N/A;N/A
How to Make a Perfect Xmas Eve;2012;13+; Short, Drama            ;11 min;;;Monica Vanesa Tedja;;N/A;N/A;N/A
Behind the Flickering Light: The Archive;2013;SU; Documentary            ;155 min;7,1;8;Hafiz Rancajale;;N/A;N/A;N/A
Lewat sepertiga malam;2013;SU; Short, Drama            ;17 min;;;Orizon Astonia;;N/A;N/A;N/A
Rakut Si Telu : Kinship System in tone composition;2015;SU; Documentary, Short            ;27 min;;;Andi Hutagalung;;N/A;N/A;N/A
Opor Operan;2015;SU; Short, Comedy            ;15 min;;;Mustafa Mustafa;;N/A;N/A;N/A
Why Do I Sing;2017;13+; Short, Fantasy, Horror            ;7 min;;;Anggi Septianto;;N/A;N/A;N/A
Fury!;2017;SU; Short            ;12 min;;;Deny Tri Ardianto -;;N/A;N/A;N/A
Koma: It Is Not a Cold Dead Place;2018;SU; Documentary, Short, Drama            ;10 min;;;Bobby Zarkasih;;N/A;N/A;N/A
Dunia Yang Lengang;2013;SU; Short, Drama, Sci-Fi            ;27 min;;;Deli Luhukay;;N/A;N/A;N/A
Grass of Road;2017;13+; Documentary, Short, Crime            ;5 min;;;Lusie Natio Tobing;;N/A;N/A;N/A
The 13th moon;2018;13+; Short, Drama, Romance            ;21 min;;;Ida Bagus Kade Dwi Widyautama;;N/A;N/A;N/A
Perampok ulung;2009;13+; Drama            ;84 min;;;Marjito Iskandar Tri Gunawan;;N/A;N/A;N/A
Last Night Our Daughter Came Back Home;2015;SU; Short, Drama            ;13 min;;;Adi Marsono;;N/A;N/A;N/A
Anywhere But Fear;2004;SU; Documentary, Short            ;30 min;;;Adeline Tumenggung-Cooke;;N/A;N/A;N/A
Jakartarck;2011;SU; Documentary, Short            ;44 min;;;Ari Rusyadi;;N/A;N/A;N/A
Liburan keluarga;2012;SU; Short, Drama            ;18 min;;;Tunggul Banjaransari;;N/A;N/A;N/A
Al-Zaytun Nostalgia Trip;2013;SU; Documentary            ;90 min;;;Tengku Iskhandar;;N/A;N/A;N/A
The Package;2016;13+; Short, Crime, Drama            ;13 min;;;Pratomo Waskito Dewo;;N/A;N/A;N/A
Burn;2017;13+; Short, Action            ;16 min;;;Patra Ramadana;;N/A;N/A;N/A
Kejadian;2003;SU; Short, Drama            ;6 min;;;Adriyanto Dewo;;N/A;N/A;N/A
People of the Forest: Orang Rimba;2018;SU; Documentary, Short            ;15 min;;;Isaac Kerlow;;N/A;N/A;N/A
Boncengan;2012;SU; Short, Drama            ;16 min;;;Senoaji Julius;;N/A;N/A;N/A
The Taste of Fences;2015;SU; Short, Drama            ;15 min;;;Sinung Winahyoko;;N/A;N/A;N/A
Mosquitoes Won't Bite;2013;13+; Documentary, Short, Crime            ;8 min;;;Nusrat Howard-Moore;;N/A;N/A;N/A
Nightfly 2;2017;13+; Documentary, Short, Drama            ;6 min;;;Asrizal Rizki Akbar;;N/A;N/A;N/A
The Silent Mob;2016;SU; Short, Drama            ;17 min;6,7;13;Harvan Agustriansyah;;N/A;N/A;N/A
A beautiful conversation;2018;SU; Short, Drama            ;20 min;;;Ayesha Alma Almera;;N/A;N/A;N/A
Invisible Garments, Expensive Soles;2002;SU; Documentary, Short            ;12 min;;;Nan Triveni Achnas;;N/A;N/A;N/A
Iblis Jalanan: Street Demon;2015;13+; Short, Drama            ;10 min;;;Salman Farizi;;N/A;N/A;N/A
Hombreng;2012;13+; Short, Drama            ;5 min;;;Harits Indi Pratama;;N/A;N/A;N/A
Waria Streets;2016;13+; Documentary, Short            ;9 min;;;Tamara Shogaolu;;N/A;N/A;N/A
Street Food Chef;2016;SU; Reality-TV            ;5 min;;;Will Meyrick;;N/A;N/A;N/A
Camouflage;2016;SU; Animation, Short, Action            ;8 min;6;7;Keanji Kasyfulwarits;;N/A;N/A;N/A
Rock in Solo: Heritage Metalfest;2012;SU; Documentary            ;90 min;;;Kamerad Edmond;;N/A;N/A;N/A
Happy Family;2016;SU; Short, Drama, Family            ;25 min;;;Eden Junjung;;N/A;N/A;N/A
Babi apa ayam?;2008;SU; Documentary, Short            ;13 min;;;Sakti Parantean;;N/A;N/A;N/A
Dikerjai Preman Part 1;2006;13+; Short, Drama            ;4 min;;;Afrizaldi;;N/A;N/A;N/A
Musafir;2008;SU; Documentary, Short            ;16 min;;;B.W. Purba Negara;;N/A;N/A;N/A
The Plague;2016;13+; Short, Mystery, Romance            ;16 min;;;Makbul Mubarak;;N/A;N/A;N/A
Oesman 77;2013;SU; Comedy            ;;8,3;9;Entis Sutisna;;N/A;N/A;N/A
The Eye of the Day;2001;SU; Documentary            ;94 min;7,9;96;Leonard Retel Helmrich;;N/A;N/A;N/A
Roda Pantura, a North Coast Story;2017;SU; Animation, Short            ;18 min;;;Hizkia Subiyantoro;;N/A;N/A;N/A
The Flaneurs #3;2013;SU; Documentary, Short            ;4 min;;;Aryo Danusiri;;N/A;N/A;N/A
The Backyard;2013;SU; Short, Drama            ;12 min;;;Yusuf Radjamuda;;N/A;N/A;N/A
Breath Painting;2017;SU; Animation, Short, Drama            ;13 min;;;Fajar Ramayel;;N/A;N/A;N/A
Kelas 5000-an;2010;SU; Short, Drama            ;30 min;;;Jihad Adjie;;N/A;N/A;N/A
Despair;2016;SU; Short, Drama            ;14 min;;;Rangga Kusmalendra;;N/A;N/A;N/A
The Mask Dance of Sujana Arja;2016;SU; Documentary, Short, Biography            ;9 min;;;Syaiful Halim;;N/A;N/A;N/A
Darpur Nicky;2012;SU; Reality-TV            ;24 min;;;Nicky Tirta;;N/A;N/A;N/A
The Lightdancer;2017;13+; Short, Fantasy, Thriller            ;17 min;;;Andra Fembriarto;;N/A;N/A;N/A
The Fish Who Never Met Ocean;2017;SU; Short, Drama, Family            ;17 min;;;Zhafran Solichin;;N/A;N/A;N/A
Late Night Patrol;2018;13+; Short, Crime, Drama            ;22 min;;;Diego Mahameru;;N/A;N/A;N/A
When a women turns to be an annoying thing;2017;13+; Short, Drama            ;11 min;;;Andi Asyhary;;N/A;N/A;N/A
Laemeang: 92 years in darkness;2016;13+; Documentary, Short            ;30 min;;;Andi Hutagalung;;N/A;N/A;N/A
Flowers in the Wall;2017;SU; Short, Drama, Family            ;17 min;;;Eden Junjung;;N/A;N/A;N/A
Hope: Indonesia's Dayak Iban;2015;SU; Documentary, Short            ;8 min;;;Paul Redman;;N/A;N/A;N/A
Riding My Tiger (A Cinéma Very Vérité);2014;SU; Documentary, Short            ;40 min;;;Ascan Breuer;;N/A;N/A;N/A
The Phone;2017;SU; Short, Drama, Family            ;7 min;;;Khansa Mareta;;N/A;N/A;N/A
Cendol;2010;SU; Short, Drama            ;17 min;;;Leony Vitria Hartanti;;N/A;N/A;N/A
Hanuman;2011;SU; Short            ;11 min;;;Wregas Bhanuteja;;N/A;N/A;N/A
Bunglon;2012;13+; Short, Drama            ;9 min;;;Angkasa Ramadhan;;N/A;N/A;N/A
Wrong Day;2011;13+; Short, Drama            ;4 min;;;Yusuf Radjamuda;;N/A;N/A;N/A
Time for Poetry to Shine;2018;13+; Short, Drama            ;23 min;;;Ayara Bhanu Kusuma;;N/A;N/A;N/A
Sale;2014;13+; Short, Thriller            ;14 min;;;Kevin Anderson;;N/A;N/A;N/A
Punai;2015;13+; Short, Drama            ;19 min;;;Rafki Hidayat;;N/A;N/A;N/A
Bot... Parabot;2008;SU; Documentary, Short            ;7 min;;;Jastis Arimba;;N/A;N/A;N/A
Tanya jawab;2011;SU; Short, Drama            ;8 min;;;Jason Iskandar;;N/A;N/A;N/A
Memory and Hope;2015;SU; Documentary            ;83 min;;;Yuda Kurniawan;;N/A;N/A;N/A
Gadis berkerudung hitam dan manusia serigala;2014;SU; Short, Drama            ;21 min;;;Orizon Astonia;;N/A;N/A;N/A
Bandung 25-03;2017;13+; Short, Crime, Mystery            ;1 min;;;Abdalah Gifar;;N/A;N/A;N/A
Why Isn't Peter Happy?;2011;13+; Short, Drama            ;14 min;;;Paul Agusta;;N/A;N/A;N/A
Pliss Deh Jangan Lebay;2010;13+; Romance            ;;;;Thaleb Wirachman;;N/A;N/A;N/A
Cockpit;2015;SU; Documentary, Short            ;5 min;;;Luke Malone;;N/A;N/A;N/A
Living in Chains;2018;SU; Documentary, Short            ;14 min;;;Nur Humaira Sajat;;N/A;N/A;N/A
Stek & Salat;2011;SU; Short, Drama            ;6 min;;;Ariani Darmawan;;N/A;N/A;N/A
Afflictions: Culture and Mental Illness in Indonesia, Volume 2: Neuropsychiatric Disorders;2011;SU; Documentary, Biography            ;96 min;;;Robert Lemelson;;N/A;N/A;N/A
Halaman Rumah;2020;SU; Short            ;4 min;;;Alfa Kakauhe;;N/A;N/A;N/A
The Rain After;2014;13+; Documentary, Short, Comedy            ;13 min;;;Mohammad Fauzi;;N/A;N/A;N/A
Keripik sukun Mbok Darmi;2012;13+; Animation, Short            ;4 min;;;Heri Kurniawan;;N/A;N/A;N/A
Kuncup;2017;SU; Short, Comedy, Drama            ;20 min;;;M. Myrdal Muda;;N/A;N/A;N/A
Pulang;2016;13+; Short, Horror            ;4 min;;;Kevin Anderson;;N/A;N/A;N/A
Lisa dan Bayangan;2013;SU; Animation, Short, Drama            ;8 min;;;Mersya Chandra;;N/A;N/A;N/A
Maaf bioskop tutup;2010;13+; Short, Drama            ;18 min;;;Ardi Wilda Irawan;;N/A;N/A;N/A
Level Up;2010;13+; Documentary, Short            ;4 min;;;Bambang 'Ipoenk' K.M.;;N/A;N/A;N/A
Man Marduk;2017;13+; Short, Drama            ;18 min;;;Agung Setyawan;;N/A;N/A;N/A
Message from the stern deck;2017;13+; Documentary, Short, Adventure            ;18 min;;;Andi Imam Prakasa;;N/A;N/A;N/A
Dk1;2016;13+; Documentary, Short            ;11 min;;;David Sujono;;N/A;N/A;N/A
Die Before Blossom;2014;13+; Documentary            ;89 min;;;Ariani Djalal;;N/A;N/A;N/A
Say Hello to Yellow;2011;SU; Short, Drama            ;20 min;;;B.W. Purba Negara;;N/A;N/A;N/A
Idola Cilik;2008;SU; Reality-TV            ;;;;Cakka Nuraga;;N/A;N/A;N/A
The Quiet Silence;2016;SU; Short, Drama, Family            ;23 min;;;Muhamad Erlangga Fauzan;;N/A;N/A;N/A
The Call of the Crater;2015;SU; Documentary, Short            ;30 min;;;Ignasius Loyola;;N/A;N/A;N/A
Silent Blues of the Ocean;2016;SU; Documentary, Short            ;27 min;;;Arfan Sabran;;N/A;N/A;N/A
To Drive Your Life;2015;SU; Short, Drama, Fantasy            ;21 min;;;Rateka Lee;;N/A;N/A;N/A
Chick-Chick;2017;13+; Short, Drama            ;5 min;;;Kevin Anderson;;N/A;N/A;N/A
Downtown;2016;SU; Documentary, Short, Drama            ;3 min;;;Tasya Arsyta Kahfi;;N/A;N/A;N/A
All About My Pregnancy;2015;SU; Documentary            ;81 min;;;Supriyadi Supriyadi;;N/A;N/A;N/A
Crescent Moon Over the Sea;2007;SU; Documentary            ;63 min;;;Yuli Andari;;N/A;N/A;N/A
Your BestFriend;2017;SU; Short, Thriller            ;23 min;;;Zain Zaidcaer;;N/A;N/A;N/A
Long Sa'an;2017;SU; Documentary            ;60 min;;;Erick Est;;N/A;N/A;N/A
The Nameless Boy;2017;13+; Short, Drama            ;6 min;;;Diego Mahameru;;N/A;N/A;N/A
Play Station;2014;SU; Documentary, Short, Family            ;5 min;;;Jasper Yeo;;N/A;N/A;N/A
Senyawa;2012;13+; Short, Drama            ;13 min;;;Wregas Bhanuteja;;N/A;N/A;N/A
Diorama;2017;13+; Short, Drama            ;5 min;;;Keanji Kasyfulwarits;;N/A;N/A;N/A
The Address;2010;13+; Short, Drama            ;7 min;;;Harvan Agustriansyah;;N/A;N/A;N/A
Cuts;2016;13+; Documentary            ;65 min;;;Chairun Nissa;;N/A;N/A;N/A
Sang penggoda;2010;13+; Short, Drama            ;20 min;;;Nandra Y.S.;;N/A;N/A;N/A
Resurrection;2017;13+; Documentary            ;118 min;;;Rian Suryalibrata;;N/A;N/A;N/A
Ritual;2012;13+; Short, Drama            ;14 min;;;Ismail Basbeth;;N/A;N/A;N/A
Joni Sok Jagoan;2016;13+; Short, Comedy            ;6 min;;;Mustafa Mustafa;;N/A;N/A;N/A
Cinta sama dengan Cindolo Na Tape;2018;13+; Comedy, Drama            ;107 min;7,5;16;Andi Burhamzah;A. Thesar Resandy;Maizura;Brilian Rexy Sondakh;Syukri
