Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
Jeritan Kuntilanak;2009;13+; Horror            ;90 min;4,5;21;Nayato Fio Nuala;Joanna Alexandra;Furry Citra;H.I.M. Damsyik;Garneta Haruni
Belum Cukup Umur;2010;13+; Drama            ;77 min;6,4;8;Nayato Fio Nuala;Joanna Alexandra;Mentari;Vikri Rahmat;Zidni Adam Zawas
Catatan Akhir Sekolah;2005;13+; Comedy, Drama            ;109 min;7,4;492;Hanung Bramantyo;Joanna Alexandra;Vino G. Bastian;Marcel Chandrawinata;Rabzki Muzy
Pizza Man;2015;13+; Action, Comedy            ;90 min;6,4;17;Ceppy Gober;Joanna Alexandra;Yuki Kato;Karina Nadila;Gandhi Fernando
Prolog;2015;13+; Short, Drama            ;12 min;;;Dimas Adiputro;Jocelyn Budipranoto;Maria Oentoe;Agustin Taidy;N/A
Hit & Run;2019;13+; Action, Comedy            ;114 min;6,3;304;Ody C. Harahap;Joe Taslim;Chandra Liow;Tatjana Saphira;Jefri Nichol
Daysleepers;2018;13+; Drama, Romance            ;92 min;7,2;18;Paul Agusta;Joko Anwar;Agnes Naomi;Djenar Maesa Ayu;Khiva Iskak
Blind Pig Who Wants to Fly;2008;TV-MA; Drama            ;77 min;6;272;Edwin;Joko Anwar;Clarine Baharrizki;Ladya Cheryl;Andhara Early
Parts of the Heart;2012;13+; Drama, Romance            ;90 min;5,8;35;Paul Agusta;Joko Anwar;Endy Arfian;Bobby Asmoro;Tuhdil Haqiqi
Melancholy Is A Movement;2015;13+; Drama            ;75 min;6,5;22;Richard Oh;Joko Anwar;Fachry Albar;Ario Bayu;Karina Salim
Blood, Guts, and Bad Acting: Inside the Indonesian B Movies of the 1980s;2017;13+; Documentary, Short, Horror            ;15 min;;;Arman Dzidzovic;Joko Anwar;N/A;N/A;N/A
Madame X;2010;13+; Action, Comedy            ;102 min;6,4;69;Lucky Kuswandi;Joko Anwar;Titi Dwijayati;Ikhsan Himawan;Ria Irawan
Teman;2016;13+; Short, Comedy            ;13 min;;;Yandy Laurens;Joko Suratin;Sugeng;Harry Izwan;Annisa Hertami
Pocong Setan Jompo;2009;13+; Horror            ;89 min;3,2;13;Findo Purwono;Jonathan Frizzy;Uli Auliani;Bella Esperance;Herichan
15.7 km;2018;13+; Short, Drama            ;15 min;;;Rian Apriansyah;Jordi Armando;Burhannudin;N/A;N/A
17 Tahun Ke Atas;2014;13+; Drama            ;;;;Nayato Fio Nuala;Jordi Onsu;Ajun Perwira;Dahlia Poland;Aditya Suryo
Lost;2015;13+; Short, Romance            ;12 min;;;Muhammad Hafiz;Jorge Rachmat;Muhammad Hafiz;Jorge Rachmat;Suci Ramadanti
Rasyah the Wonderkid;2022;13+; Drama            ;99 min;;;Kemal Fathur;Jorgi Algibran;Satria Daefalla;Aqila Herby;Aqilla Herby
