Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
Ladies on Top;2018;13+; Short, Drama            ;32;7,8;22;Wahyu Agung Prasetyo;Siti Fauziah;Brilliana Desy D.;Angelina Punyk;Dyah Mulani
Unbaedah;2019;13+; Short, Comedy, Horror            ;15;7;30;Iqbal Ariefurrahman;Siti Fauziah;Isma Imung;Devina Aureel;Bandel Ilyas
Wening;2019;13+; Drama, Thriller            ;76;2,7;39;Agus Pestol;Slamet Ambari;Nungki Kusumastuti;Ruth Marini;Cantiknya Putri Respati
The Spirit of Ki Slamet Gundono;2016;13+; Documentary, Short, Biography            ;20;7,6;47;Syaiful Halim;Slamet Gundono;;;
The Empire's Throne;2013;13+; Action, Drama, History            ;71;5,6;56;Nirattisai Kaljareuk;Slamet Rahardjo;Livi Zheng;Saifullah Yusuf;Nurul Arifin
Kain Kafan Perawan;2010;13+; Horror            ;85;4,3;38;Nayato Fio Nuala;Smitha Anjani;Ratu Felisha;Sarah Jane;Ardina Rasti
Akibat Pergaulan Bebas;2010;13+; Drama            ;71;5;38;Nayato Fio Nuala;Smitha Anjani;Uli Auliani;Leylarey Lesesne;Sabai Morscheck
Misterius;2015;13+; Horror            ;81;4,9;11;Muhammad Yusuf;Sofia Adios;Efritha Berliana;Muhammad Iqbal;Ayub Darjam
Malapataka;2020;13+; Short, Horror            ;10;7,7;150;Rizal Mantovani;Sonia Alyssa;Masayu Anastasia;Tissa Biani Azzahra;Nicho Bryant
Tetangga Masa Gitu;2017;13+; Comedy            ;27;4;142;Dwi Sasono;Sophia Latjuba;Deva Mahenra;Chelsea Islan;
JK;2009;13+; Short, Biography            ;6;6,5;134;Hanung Bramantyo;Sopyan Dado;Lilis Ireng;Jusuf Kalla;Daksa Lintang
Semesta;2018;SU; Documentary            ;88;7,2;126;Chairun Nissa;Soraya Cassandra;Marselus Hasan;Agustinus Pius Inam;Almina Kacili
Tumbal Jailangkung;2011;13+; Horror            ;82;5,7;12;Nayato Fio Nuala;Soraya Larasati;Denny Weller;Violenzia Jeanette;Rocky Jeff
Kartu Pos Wini;2022;13+; Drama            ;90;5,1;13;Tarmizi Abka;Soraya Rasyid;Denira Wiraguna;Grace Kaitlin;Fajar Rezky
The Scent of Rat Carcasses;2021;13+; Short, Drama            ;9;8,2;14;Dharma Putra P.N.;Sri Isworowati;Dyah Prabawati;;
The Reclamation;2016;13+; Documentary, Short            ;39;6,4;15;Gary Bencheghib;Stanley Allison;Man Angga;Soundbwoy Dodix;Ida Pedanda Gunnung
Love, Love;2019;13+; Documentary, Short            ;25;3,2;16;Kervin Quieta;Stef Aranas;Kikie Fatma Masyandy;Lenny Sugiharto;
Aku Jatuh Cinta;2022;13+; Drama, Romance            ;45;1,6;17;Rudi Aryanto;Stefan William;Larasati Nugroho;Laura Christina Moane;Ranty Maria
We Can Go Through All of This;2021;13+; Drama            ;83;4,7;18;Immanuel Caesar Hito;Stefan William;Michelle Ziudith;;
Mama-Mama Milenial;2021;PG-13; Comedy            ;83;1,3;19;Mikha Tambayong;Stefhani Zamora Husen;Nasya Marcella;Rania Putri Sari;
Uka-Uka the Movie: Nini Tulang;2019;13+; Horror            ;92;5,2;20;Ubay Fox;Stefhani Zamora Husen;Yoriko Angeline;Gusti Rayhan;Debo Andryos
Horas Amang: Tiga Bulan Untuk Selamanya;2019;13+; Comedy, Drama            ;109;9,4;37;Irham Acho Bahtiar;Steve R.R. Wantania;Cok Simbara;Tanta Ginting;Novita Dewi
The Last Answer;2012;13+; Short, Drama, Fantasy            ;28;8;37;Radhiyan Pribadi;Steven Rio Andika;Novrina Nur Isyani;Rieza Mufid;Anggit Prakoso
Di Sini Ada Yang Mati;2013;13+; Crime, Horror, Mystery            ;68;6,9;37;Nayato Fio Nuala;Stuart Collin;Donita;Garneta Haruni;Tata Sivek
Living in Rob;2017;13+; Documentary, Short            ;26;7,9;38;Fuad Hilmi Hirnanda;Suali;Wairi;Yanti;
Diponegoro 1830;2021;13+; Short, Drama            ;17;4,5;38;Gata Mahardika;Subiyanto;Muhammad Asyrafi;Faris Cholis;Jamaludin Latief
Cerita Tentang Cak Munir;2014;13+; Documentary            ;90;4,2;38;Hariwicahyo Utomo;Suciwati Munir;;;
The Robbers;2013;13+; Action, Drama            ;134;6,4;39;Hanung Bramantyo;Sugeng Wahyudi;Sahrul Gunawan;Agus Kuncoro;Mathias Muchus
Satanic;2002;13+; Horror            ;87;4,4;45;Mardaly Sjarif;Sujiwo Tejo;Meriam Bellina;Aldo Banar;Jane Catherine
Telegram;2000;13+; Drama            ;82;6;49;Slamet Rahardjo;Sujiwo Tejo;Mira Ayudhia;Ayu Azhari;Desy Ratnasari
Mangkujiwo;2020;17+; Horror            ;109;5,1;145;Azhar Kinoi Lubis;Sujiwo Tejo;Yasamin Jasem;Asmara Abigail;Roy Marten
Maipa Deapati & Datu Museng (The Hero;2018;13+; History            ;118;9,8;17;Rere Art2tonic;Sukri Basto;Fildza Burhan;Hans de Kraker;Shaheer Sheikh
Love in Bombay;2002;13+; Romance            ;83;5,5;41;Indrani Banerjee;Sultan Djorghi;Rina Frank T.;Narendra Jha;
Ariel & Raja Langit;2005;13+; Adventure, Drama            ;112;3,7;65;Harry Suharyadi;Sulton Max;Ariel Tatum;Indy Barens;Sissy Priscillia
Cari hutan;2011;13+; Documentary            ;76;7,6;89;Florian Augustin;Sumali Agrawal;Florian Augustin;Simon Husson;Arie Rompas
