Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
Kisah Tanah Jawa: Merapi;2019;18+; Horror            ;43;7,8;37;Faozan Rizal;Deva Mahenra;Joshua Suherman;Laura Basuki;Laura Theux
Negeri Dongeng;2017;SU; Documentary            ;98;8,9;8;Anggi Frisca;;;;
Workingman's Death;2005;13+; Documentary            ;122;7,9;1757;Michael Glawogger;;;;
Magic Hour;2015;18+; Comedy, Drama            ;96;8,7;6;Asep Kusdinar;Dimas Anggara;Michelle Ziudith;Rizky Nazar;Nadya Arina
Jakarta Love Story;2015;13+; Romance            ;50;1,8;6;Vemmy Sagita;Irish Bella;Rezky Adhitya;Rionaldo Stockhorst;Mischa Chandrawinata
Homebound;2022;13+; Documentary, Short            ;10;4,3;6;Ismail Fahmi Lubish;;;;
Cherrybelle: Chibi Chibi Burger;2012;13+; Drama           ;83;4,3;6;Akbar de Wighar;Cherly Yuliana Anggraini;Margareth Angelina;Brigitta Cynthia;Jessyca Stefani Auryn
RONG (Hole);2018;SU; Short, Drama, Family            ;35;2,9;7;Sri Nugroho;;;;
Srimulat: Hil yang Mustahal - Babak Kedua;2022;SU; Biography, Comedy, Drama            ;110;7;7;Fajar Nugros;;;;
Before You Eat;2022;18+; Documentary            ;96;4,6;7;Kasan Kurdi;;;;
Once Upon a Time in Chinatown;2021;SU; Documentary            ;83;9,4;8;Zack Lee;Tirta Lie;Zack Lee;Lie Tek Kwie;
Joko;2017;SU; Short, Drama            ;21;8,9;19;Suryo Adhi Wiyogo;;;;
Xabi: A Phantasmagoric Adventure;2021;SU; Short            ;25;9,8;31;Nosa Normanda;;;;
Fairish the Series;2005;13+; Drama            ;83;5,7;43;Nadia Edward;;;;
A Boarding School;2019;SU; Documentary            ;105;4,9;55;Shalahuddin Siregar;;;;
Cowboys in Paradise;2009;SU; Documentary, News            ;83;7,6;67;Amit Virmani;;;;
Panah Asmara Arjuna;2014;13+; Reality-TV            ;45;8,7;20;Shaheer Sheikh;;;;
Pamurba Yatmaka Cakra Bhirawa;2015;SU; Documentary            ;45;6,9;106;Kamerad Edmond;;;;
Jalanan;2013;SU; Documentary, Drama, Music            ;108;8;192;Daniel Ziv;;;;
The Sako Tapes;2019;SU; Documentary, Drama, History            ;74;8,5;15;Machiel van den Heuvel;;;;
Black Winter;2021;SU; Animation, Short            ;7;8,4;157;Noviandra Santosa;;;;
Position Among the Stars;2010;SU; Documentary, History            ;115;7,9;299;Leonard Retel Helmrich;;;;
Toilet Blues;2012;SU; Drama            ;87;5,9;20;Dirmawan Hatta;;;;
December;2015;SU; Short, Drama            ;28;7,2;5;Sidharta Tata;;;;
Jalanin Aja;2017;SU; Short, Drama            ;12;1,6;6;Joko Anwar;;;;
Girls for Future;2021;SU; Documentary            ;88;6,4;8;Irja von Bernstorff;;;;
Salah;2010;SU; Short, Drama            ;10;5,8;10;Icang Rizal Rakhmandar;;;;
The Unseen Words;2017;SU; Documentary, Short            ;27;1,5;12;Wahyu Utami;;;;
Single and Hopefully Happy;2015;SU; Drama            ;83;4,5;14;Kho Michael;;;;
Tales of the Waria;2011;13+; Documentary, Romance            ;57;7,5;16;Kathy Huang;;;;
Sunya;2016;13+; Drama, Fantasy, Mystery            ;88;8,8;13;Hari Suhariyadi;;;;
Prison and Paradise;2010;17+; Documentary            ;93;4,6;13;Daniel Rudi Haryanto;;;;
Menerobos Batas;2000;SU; Documentary, Short            ;17;7,3;13;Wahyu Utami;;;;
Once Upon a Time in Yogyakarta;2017;SU; Short, Drama            ;12;8,8;13;Dwi Saputro;;;;
Dream Chasers: Garuda Select;2018;SU; Short            ;12;2,4;13;Dennis Wise;;;;
Renita, Renita;2007;SU; Short            ;16;5,6;13;Tonny Trimarsanto;;;;
Angin kemarau;2003;SU; Short            ;16;9,2;13;Lono Abdul Hamid;;;;
Go Local or Go Home;2020;SU; Adventure, Comedy, Reality-TV            ;25;4,8;13;Mentari De Marelle;;;;
Help is on the Way;2020;SU; Documentary            ;91;7,5;13;Ismail Fahmi Lubish;;;;
Where Heaven Meets Hell;2013;SU; Documentary, Drama, Family            ;80;7,2;19;Sasha Friedlander;;;;
Dluwang: the Past from the Trash;2017;SU; Documentary, Short            ;20;2,5;18;Agni Tirta;;;;
Detik Dan Waktu (Selepas Pandemi);2022;SU; Documentary, Short            ;20;5,3;17;Abraham Abdiel Arya Putra Yudianto;;;;
After 12 Years;2016;SU; Short, Documentary            ;12;5,2;16;Yuda Kurniawan;;;;
The Conversion of a Terrorist;2000;SU; Documentary, Short, Biography            ;28;7,2;16;Damien Dematra;;;;
Legacy of Java;2020;SU; Documentary            ;83;1,5;15;Budi Kurniawan;;;;
Si Anak Kampoeng (the Village Boy);2011;SU; Drama            ;105;8,4;14;Damien Dematra;;;;
Tim Bui (The Team) - Indonesia;2012;13+; Drama            ;83;9,1;14;Sugeng Wahyudi;Agus Kuncoro;Rio Alba;Richard Alino;Daffi Ariangga
Jakarta Unfair;2016;SU; Documentary            ;83;9,6;13;Dhuha Ramadhani;;;;
Anima Si Nopal;2019;TV-PG; Comedy            ;83;6;12;Nadiah Rifatum Mumtaz;;;;
Frontier Sumatra;2019;SU; Documentary            ;60;1,8;12;Chris Baron;;;;
Who the Fuck Is Ismail Basbeth?;2012;SU; Short, Drama            ;4;5,5;11;Ismail Basbeth;;;;
Serangan Oemoem (Bro Dragon, the City is Under Attack!);2022;SU; Animation, Short            ;14;2,9;10;Fajar Martha Santosa;;;;
Pool;2007;SU; Short            ;14;5,3;10;Chris Chan Fui Chong;;;;
The Shutter of Death;2018;18+; Short, Action, Crime            ;9;6,8;9;Lies Nanci Supangkat;;;;
A moment before eternal slumbers;2018;SU; Short            ;12;7,5;9;Bela Nabila;;;;
The Peace Agency;2018;SU; Documentary            ;92;4,8;8;Sue Useem;;;;
Istri Orang;2019;13+; Drama            ;99;6,3;8;Dirmawan Hatta;;;;
Merged with the ground;2018;13+; Short, Adventure, Drama            ;19;7,4;7;Imam Syafi'I;;;;
Asa;2020;13+; Short, Drama            ;20;9,6;7;Loeloe Hendra Komara;;;;
Journalism for Dummies;2021;13+; Documentary, Short            ;17;3,1;6;Hadafi Raihan Karim;;;;
The Floating Chopin;2016;13+; Short, Drama            ;11;7;6;Wregas Bhanuteja;;;;
Cinderella: Apakah Cinta Hanya Mimpi?;2007;13+; Drama            ;60;5,6;11;Mukta Dhond;Cinta Laura;Galih Ginanjar;Rezky Aditya;Kiki Farrel
Before Morning Comes;2016;13+; Short, Drama            ;15;8,8;5;Asaf Kharisma;;;;
Agave Amica;2022;SU; Short, Documentary            ;14;6,2;6;Gembong Nusantara;;;;
Labirin Lembusora;2022;SU; Animation, Short            ;16;4,7;8;Gugun Arief;;;;
Kiwa;2019;13+; Short, Drama            ;16;4,6;9;Loeloe Hendra Komara;;;;
Love Paper;2012;13+; Short, Drama            ;8;9,5;11;Bambang 'Ipoenk' K.M.;;;;
The Ballads of Cinema Lovers;2017;13+; Documentary            ;104;6,5;12;Yuda Kurniawan;;;;
Jakarta Disorder;2013;13+; Documentary, Drama            ;88;8,6;14;Ascan Breuer;;;;
Morning Without the Sun (2016);2016;SU; Short, Drama, Family            ;22;8,2;8;Andree Sascha;;;;
Dancing for the Gods;2018;SU; Documentary, Short            ;22;4,8;7;Jelena Vuksanovic;;;;
Fun Cooking;2012;SU; Documentary;30;3,2;7;Hiromitsu Harada;;;;
Nyanyian Akar Rumput;2018;SU; Documentary            ;112;5,2;7;Yuda Kurniawan;;;;
Love is Trap;2016;13+; Short, Drama            ;14;6,8;7;Hanung Bramantyo;;;;
Omdat wij mooi waren;2010;13+; Documentary, History, War            ;61;7,3;7;Frank van Osch;;;;
Posko Palu;2019;SU; Documentary, Short            ;11;7,3;7;Tim Barretto;;;;
Subaja;2021;13+; Short, Action            ;14;6,1;8;Dinar Safari;;;;
Lembusura;2015;13+; Short, Drama            ;10;7,7;9;Wregas Bhanuteja;;;;
Bride's Slave;2018;13+; Short, Crime, Drama            ;7;3,7;8;Lies Nanci;;;;
Bermain di antara gajah-gajah;2007;SU; Documentary            ;83;4,4;8;Aryo Danusiri;;;;
A l i v e;2011;13+; Short, Thriller            ;10;1,5;8;Adhitya Insan;;;;
7 Words;2017;13+; Documentary, Short, Drama            ;22;1,7;8;Mochamad Bayu;;;;
The Puppeteer;2017;SU; Documentary, Short, Biography            ;5;6,6;8;Inaya Graciana Yusuf;;;;
Deep Memories;2018;13+; Short, Drama, History            ;24;4,9;8;Zhaddam Aldhy Nurdin;;;;
Followed;2016;13+; Short, Horror            ;18;7,6;8;Ananda Wishnu Mukti;;;;
Saat menyatakan cinta;2001;13+; Short, Drama            ;12;3,2;8;Eric Gunawan;;;;
Our School, Our Life;2008;SU; Documentary, Short            ;10;2,4;8;Steve Pillar Setiabudi;;;;
Voice From The Coast;2017;13+; Short, Drama            ;25;6,2;8;Susilo Raharjo;;;;
The Paintings of War: Aggression in the Eyes of Children;2017;SU; Documentary, Short            ;29;5;8;Agustinus Dwi Nugroho;;;;
Irama hari;2008;SU; Documentary, Short            ;9;9,4;8;Steve Pillar Setiabudi;;;;
Sudejo: The Middle Man;2019;SU; Documentary, Short            ;16;9,2;8;Jacinta Filiaci;;;;
Pesantren's Way of Dakwah;2016;SU; Documentary, Short            ;37;1,7;8;Yuda Kurniawan;;;;
Joko & Putra;2022;SU; Documentary, Short            ;15;3,5;8;Jeissy Trompiz;;;;
I Love Manchester United and My Veil;2010;SU; Short, Comedy, Drama            ;13;3,9;8;Fazrie Permana;;;;
Ojek Lusi;2017;SU; Documentary, Short            ;17;9,9;8;Winner Wijaya;;;;
Kumohon, Cintailah Aku!;2010;SU; Animation, Short            ;17;2,3;8;Wurry Parluten;;;;
Sacrificing Hundreds of Buffalo for One Funeral in Indonesia;2016;SU; Documentary, Short            ;17;1,4;8;Jonathan Vit;;;;
Kasiterit;2019;SU; Short            ;18;6;8;Riar Rizaldi;;;;
Dari Rumah Untuk Indonesia;2020;SU; Documentary, Short            ;18;7,1;7;Miky Havis;;;;
Di balik senyum kecilmu;2020;13+; Short, Drama            ;12;2;7;Dngrt Furi;;;;
Silence;2018;SU; Documentary, Short            ;16;4,9;7;Riani Singgih;;;;
Hanya Karena;2018;13+; Short, Drama            ;5;3,4;6;Muhammad Adib Safwan;;;;
The Drown Sea;2007;SU; Documentary            ;94;9,1;6;Yuslam Fikri Anshari;;;;
50:50;2019;SU; Documentary, Short            ;14;8,8;6;Rofie Nur Fauzi;;;;
Kamu di Kanan Aku Senang;2013;13+; Short, Drama, Romance            ;7;8,2;6;B.W. Purba Negara;;;;
Mak Itam and Me;2009;13+; Documentary, Short, Drama            ;30;3,3;6;Ricky Avenzora;;;;
Dapur Campur;2008;SU; Reality-TV            ;83;8,1;6;Derk Visser;;;;
05:55;2014;13+; Short, Drama            ;13;3,2;6;Tiara Kristiningtyas;;;;
LoveRain;2021;SU; Short, Music            ;13;6,6;6;Khalil Gibran HSB;;;;
Promised Paradise;2007;SU; Documentary            ;52;1,5;6;Leonard Retel Helmrich;;;;
Palm Oil's Vice Grip on Natives;2020;SU; Documentary, Short            ;13;3,4;6;Ashlei Payne;;;;
Masked Monkey: The Evolution of Darwin's Theory;2014;SU; Documentary            ;110;7;7;Ismail Fahmi Lubish;;;;
Makan siang di hari jumat;2008;SU; Documentary, Short            ;8;9,3;7;Ariani Djalal;;;;
Mesin Langit;2019;SU; Short, Drama            ;13;5,5;7;Rizal Hainun;;;;
Tato;2003;13+; Drama;120;6,4;7;Hanny Saputra;;;;
The Dogs;2019;13+; Drama            ;70;3,7;7;Dean Yamada;;;;
Har;2018;13+; Short, Drama, Family            ;19;5,1;7;Luhki Herwanayogi;;;;
Don't Open;2019;13+; Short, Horror            ;15;3,8;8;Jovan Arvisco;;;;
Ketok;2003;SU; Documentary, Short            ;6;4,5;8;Tintin Wulia;;;;
Semua Pergi;2021;13+; Short, Drama            ;19;6,6;8;Sahrul Alfarizi;;;;
Harmoni;2015;13+; Short, Drama            ;19;2,8;8;Roland Wiryawan;;;;
Di balik senyum kecilmu;2020;13+; Short, Drama            ;19;9,4;8;Dngrt Furi;;;;
Terlena: Breaking of a Nation;2004;SU; Documentary            ;89;9,9;9;Andre Vltchek;;;;
Stopover: Jakarta;2015;SU; Reality-TV            ;83;6,7;9;Hannah Al Rashid;;;;
Bolt Out of the Blue;2018;SU; Short, Drama            ;19;7,1;9;Eliza Cheisa;;;;
The Waria of Java;2019;SU; Documentary, Short            ;13;6,5;9;Ana González;;;;
Belrusak;2020;SU; Documentary, Short            ;13;1,7;9;Hanindito Buwono;;;;
Children of Mud;2009;SU; Short, Drama            ;23;2,1;9;Danial Rifki;;;;
Lagu damai saudaraku;2001;SU; Documentary, Short            ;18;4,5;10;Hartawan Triguna;;;;
The Jakarta Project - Where is Home;2018;SU; Short            ;9;7,7;10;Shankar Addi Mehra;;;;
Join the Story - Thousand Islands;2019;SU; Documentary, Short            ;4;5,7;10;Shankar Addi Mehra;;;;
Mendengar Senyuman (Listening to a Smile);2017;SU; Short            ;9;1,8;10;Carya Maharja;;;;
The New Eat Bulaga! Indonesia;2016;SU; Reality-TV            ;45;1,5;10;Shaheer Sheikh;;;;
Setelah 15 Tahun...;2013;SU; Documentary            ;93;5,5;11;Tino Saroengallo;;;;
Little Bo in London;2014;13+; Short, Drama            ;5;2,7;10;Ryan Monoarfa;;;;
How to Make a Perfect Xmas Eve;2012;13+; Short, Drama            ;11;1,2;9;Monica Vanesa Tedja;;;;
Behind the Flickering Light: The Archive;2013;SU; Documentary            ;155;7,1;8;Hafiz Rancajale;;;;
Lewat sepertiga malam;2013;SU; Short, Drama            ;17;8,8;8;Orizon Astonia;;;;
Rakut Si Telu : Kinship System in tone composition;2015;SU; Documentary, Short            ;27;9,2;8;Andi Hutagalung;;;;
Opor Operan;2015;SU; Short, Comedy            ;15;8,8;8;Mustafa Mustafa;;;;
Why Do I Sing;2017;13+; Short, Fantasy, Horror            ;7;8,2;8;Anggi Septianto;;;;
Fury!;2017;SU; Short            ;12;6,6;9;Deny Tri Ardianto -;;;;
Koma: It Is Not a Cold Dead Place;2018;SU; Documentary, Short, Drama            ;10;2,7;9;Bobby Zarkasih;;;;
Dunia Yang Lengang;2013;SU; Short, Drama, Sci-Fi            ;27;3,3;9;Deli Luhukay;;;;
Grass of Road;2017;13+; Documentary, Short, Crime            ;5;3,7;9;Lusie Natio Tobing;;;;
The 13th moon;2018;13+; Short, Drama, Romance            ;21;4,3;9;Ida Bagus Kade Dwi Widyautama;;;;
Perampok ulung;2009;13+; Drama            ;84;7,1;10;Marjito Iskandar Tri Gunawan;;;;
Last Night Our Daughter Came Back Home;2015;SU; Short, Drama            ;13;1,8;10;Adi Marsono;;;;
Anywhere But Fear;2004;SU; Documentary, Short            ;30;4,4;10;Adeline Tumenggung-Cooke;;;;
Jakartarck;2011;SU; Documentary, Short            ;44;8,4;10;Ari Rusyadi;;;;
Liburan keluarga;2012;SU; Short, Drama            ;18;9,3;10;Tunggul Banjaransari;;;;
Al-Zaytun Nostalgia Trip;2013;SU; Documentary            ;90;3,6;11;Tengku Iskhandar;;;;
The Package;2016;13+; Short, Crime, Drama            ;13;4,5;11;Pratomo Waskito Dewo;;;;
Burn;2017;13+; Short, Action            ;16;9,1;11;Patra Ramadana;;;;
Kejadian;2003;SU; Short, Drama            ;6;3,1;11;Adriyanto Dewo;;;;
People of the Forest: Orang Rimba;2018;SU; Documentary, Short            ;15;8,5;11;Isaac Kerlow;;;;
Boncengan;2012;SU; Short, Drama            ;16;4,4;12;Senoaji Julius;;;;
The Taste of Fences;2015;SU; Short, Drama            ;15;2,8;12;Sinung Winahyoko;;;;
Mosquitoes Won't Bite;2013;13+; Documentary, Short, Crime            ;8;7,3;12;Nusrat Howard-Moore;;;;
Nightfly 2;2017;13+; Documentary, Short, Drama            ;6;6,2;12;Asrizal Rizki Akbar;;;;
The Silent Mob;2016;SU; Short, Drama            ;17;6,7;13;Harvan Agustriansyah;;;;
A beautiful conversation;2018;SU; Short, Drama            ;20;2;12;Ayesha Alma Almera;;;;
Invisible Garments, Expensive Soles;2002;SU; Documentary, Short            ;12;7,4;11;Nan Triveni Achnas;;;;
Iblis Jalanan: Street Demon;2015;13+; Short, Drama            ;10;5,3;10;Salman Farizi;;;;
Hombreng;2012;13+; Short, Drama            ;5;4,1;9;Harits Indi Pratama;;;;
Waria Streets;2016;13+; Documentary, Short            ;9;5,4;8;Tamara Shogaolu;;;;
Street Food Chef;2016;SU; Reality-TV            ;5;2;7;Will Meyrick;;;;
Camouflage;2016;SU; Animation, Short, Action            ;8;6;7;Keanji Kasyfulwarits;;;;
Rock in Solo: Heritage Metalfest;2012;SU; Documentary            ;90;8,6;7;Kamerad Edmond;;;;
Happy Family;2016;SU; Short, Drama, Family            ;25;1,9;7;Eden Junjung;;;;
Babi apa ayam?;2008;SU; Documentary, Short            ;13;7,2;7;Sakti Parantean;;;;
Dikerjai Preman Part 1;2006;13+; Short, Drama            ;4;6,6;8;Afrizaldi;;;;
Musafir;2008;SU; Documentary, Short            ;16;2,3;8;B.W. Purba Negara;;;;
The Plague;2016;13+; Short, Mystery, Romance            ;16;7,8;8;Makbul Mubarak;;;;
Oesman 77;2013;SU; Comedy            ;83;8,3;9;Entis Sutisna;;;;
The Eye of the Day;2001;SU; Documentary            ;94;7,9;96;Leonard Retel Helmrich;;;;
Roda Pantura, a North Coast Story;2017;SU; Animation, Short            ;18;1,4;94;Hizkia Subiyantoro;;;;
The Flaneurs #3;2013;SU; Documentary, Short            ;4;9,3;93;Aryo Danusiri;;;;
The Backyard;2013;SU; Short, Drama            ;12;4,5;92;Yusuf Radjamuda;;;;
Breath Painting;2017;SU; Animation, Short, Drama            ;13;9,9;91;Fajar Ramayel;;;;
Kelas 5000-an;2010;SU; Short, Drama            ;30;5,5;90;Jihad Adjie;;;;
Despair;2016;SU; Short, Drama            ;14;6,6;89;Rangga Kusmalendra;;;;
The Mask Dance of Sujana Arja;2016;SU; Documentary, Short, Biography            ;9;1,3;88;Syaiful Halim;;;;
Darpur Nicky;2012;SU; Reality-TV            ;24;1,3;86;Nicky Tirta;;;;
The Lightdancer;2017;13+; Short, Fantasy, Thriller            ;17;9;85;Andra Fembriarto;;;;
The Fish Who Never Met Ocean;2017;SU; Short, Drama, Family            ;17;4,5;84;Zhafran Solichin;;;;
Late Night Patrol;2018;13+; Short, Crime, Drama            ;22;9,3;83;Diego Mahameru;;;;
When a women turns to be an annoying thing;2017;13+; Short, Drama            ;11;1,3;82;Andi Asyhary;;;;
Laemeang: 92 years in darkness;2016;13+; Documentary, Short            ;30;1,9;81;Andi Hutagalung;;;;
Flowers in the Wall;2017;SU; Short, Drama, Family            ;17;3,8;80;Eden Junjung;;;;
Hope: Indonesia's Dayak Iban;2015;SU; Documentary, Short            ;8;8,5;78;Paul Redman;;;;
Riding My Tiger (A Cinéma Very Vérité);2014;SU; Documentary, Short            ;40;6;77;Ascan Breuer;;;;
The Phone;2017;SU; Short, Drama, Family            ;7;8,7;76;Khansa Mareta;;;;
Cendol;2010;SU; Short, Drama            ;17;5,7;75;Leony Vitria Hartanti;;;;
Hanuman;2011;SU; Short            ;11;6,4;74;Wregas Bhanuteja;;;;
Bunglon;2012;13+; Short, Drama            ;9;8,5;73;Angkasa Ramadhan;;;;
Wrong Day;2011;13+; Short, Drama            ;4;6,6;72;Yusuf Radjamuda;;;;
Time for Poetry to Shine;2018;13+; Short, Drama            ;23;9,6;70;Ayara Bhanu Kusuma;;;;
Sale;2014;13+; Short, Thriller            ;14;8,2;69;Kevin Anderson;;;;
Punai;2015;13+; Short, Drama            ;19;5,5;68;Rafki Hidayat;;;;
Bot... Parabot;2008;SU; Documentary, Short            ;7;3,2;67;Jastis Arimba;;;;
Tanya jawab;2011;SU; Short, Drama            ;8;2,3;66;Jason Iskandar;;;;
Memory and Hope;2015;SU; Documentary            ;83;3,9;65;Yuda Kurniawan;;;;
Gadis berkerudung hitam dan manusia serigala;2014;SU; Short, Drama            ;21;4,5;64;Orizon Astonia;;;;
Bandung 25-03;2017;13+; Short, Crime, Mystery            ;1;7,8;62;Abdalah Gifar;;;;
Why Isn't Peter Happy?;2011;13+; Short, Drama            ;14;4,1;61;Paul Agusta;;;;
Pliss Deh Jangan Lebay;2010;13+; Romance            ;83;7,4;60;Thaleb Wirachman;;;;
Cockpit;2015;SU; Documentary, Short            ;5;3,3;59;Luke Malone;;;;
Living in Chains;2018;SU; Documentary, Short            ;14;7,5;58;Nur Humaira Sajat;;;;
Stek & Salat;2011;SU; Short, Drama            ;6;7,5;57;Ariani Darmawan;;;;
Afflictions: Culture and Mental Illness in Indonesia, Volume 2: Neuropsychiatric Disorders;2011;SU; Documentary, Biography            ;96;1,3;56;Robert Lemelson;;;;
Halaman Rumah;2020;SU; Short            ;4;5,1;54;Alfa Kakauhe;;;;
The Rain After;2014;13+; Documentary, Short, Comedy            ;13;1,5;53;Mohammad Fauzi;;;;
Keripik sukun Mbok Darmi;2012;13+; Animation, Short            ;4;5,9;52;Heri Kurniawan;;;;
Kuncup;2017;SU; Short, Comedy, Drama            ;20;5,1;51;M. Myrdal Muda;;;;
Pulang;2016;13+; Short, Horror            ;4;9,3;50;Kevin Anderson;;;;
Lisa dan Bayangan;2013;SU; Animation, Short, Drama            ;8;2,6;49;Mersya Chandra;;;;
Maaf bioskop tutup;2010;13+; Short, Drama            ;18;3,9;48;Ardi Wilda Irawan;;;;
Level Up;2010;13+; Documentary, Short            ;4;9;46;Bambang 'Ipoenk' K.M.;;;;
Man Marduk;2017;13+; Short, Drama            ;18;2,3;45;Agung Setyawan;;;;
Message from the stern deck;2017;13+; Documentary, Short, Adventure            ;18;2;44;Andi Imam Prakasa;;;;
Dk1;2016;13+; Documentary, Short            ;11;3,6;43;David Sujono;;;;
Die Before Blossom;2014;13+; Documentary            ;89;9,4;42;Ariani Djalal;;;;
Say Hello to Yellow;2011;SU; Short, Drama            ;20;5,4;41;B.W. Purba Negara;;;;
Idola Cilik;2008;SU; Reality-TV            ;83;4,6;40;Cakka Nuraga;;;;
The Quiet Silence;2016;SU; Short, Drama, Family            ;23;5,1;38;Muhamad Erlangga Fauzan;;;;
The Call of the Crater;2015;SU; Documentary, Short            ;30;1,9;37;Ignasius Loyola;;;;
Silent Blues of the Ocean;2016;SU; Documentary, Short            ;27;5,9;36;Arfan Sabran;;;;
To Drive Your Life;2015;SU; Short, Drama, Fantasy            ;21;8,3;35;Rateka Lee;;;;
Chick-Chick;2017;13+; Short, Drama            ;5;2,9;34;Kevin Anderson;;;;
Downtown;2016;SU; Documentary, Short, Drama            ;3;8,1;33;Tasya Arsyta Kahfi;;;;
All About My Pregnancy;2015;SU; Documentary            ;81;8,9;32;Supriyadi Supriyadi;;;;
Crescent Moon Over the Sea;2007;SU; Documentary            ;63;7,3;30;Yuli Andari;;;;
Your BestFriend;2017;SU; Short, Thriller            ;23;9;29;Zain Zaidcaer;;;;
Long Sa'an;2017;SU; Documentary            ;60;2;28;Erick Est;;;;
The Nameless Boy;2017;13+; Short, Drama            ;6;4,6;27;Diego Mahameru;;;;
Play Station;2014;SU; Documentary, Short, Family            ;5;8,1;26;Jasper Yeo;;;;
Senyawa;2012;13+; Short, Drama            ;13;5,4;25;Wregas Bhanuteja;;;;
Diorama;2017;13+; Short, Drama            ;5;8,3;24;Keanji Kasyfulwarits;;;;
The Address;2010;13+; Short, Drama            ;7;1,3;22;Harvan Agustriansyah;;;;
Cuts;2016;13+; Documentary            ;65;5,7;21;Chairun Nissa;;;;
Sang penggoda;2010;13+; Short, Drama            ;20;2,1;20;Nandra Y.S.;;;;
Resurrection;2017;13+; Documentary            ;118;3,3;19;Rian Suryalibrata;;;;
Ritual;2012;13+; Short, Drama            ;14;3,5;18;Ismail Basbeth;;;;
Joni Sok Jagoan;2016;13+; Short, Comedy            ;6;2;17;Mustafa Mustafa;;;;
Cinta sama dengan Cindolo Na Tape;2018;13+; Comedy, Drama            ;107;7,5;16;Andi Burhamzah;A. Thesar Resandy;Maizura;Brilian Rexy Sondakh;Syukri
Dare to Dress;2014;13+; Documentary            ;83;5,1;17;Djonny Chen;Aan Andini;Dian;Intan;Yulianus Rettoblaut
Withdrawal;2015;13+; Short, Drama, Sci-Fi            ;12;8,8;19;M. Myrdal Muda;Ab Abdillah;Ferdiansyah;Henky Solaiman;
Di Atas Kaki Sendiri;2015;SU; Documentary, Short, Biography            ;30;6,2;21;Sahree Ramadhan;Abdul Razzaq;Kandar;Agus Fahmi;
The Main Function of Music - Muslim Headbanger;2017;SU; Documentary, Short, Music            ;34;6,9;22;Irfan Kamil Muhammad;Abdul Rehan Anderson;Putrawan Yuliandri;Bounty Umbara;Ebenz
Wawancara;2016;SU; Short, Comedy            ;12;9;24;Adjis Doaibu;Abdur Arsyad;Kemal Palevi;Arief Didu;Ariyanti Tjiang
Pocong Jalan Blora;2009;13+; Horror            ;80;3,8;26;Nayato Fio Nuala;Abdurrahman Arif;Arumy Bachsin;Fikri Baladraf;Ridwan Ghany
Cupcake untuk Rain;2023;13+; Drama, Romance            ;44;4,6;29;Dinna Jasanti;Abidzar Al Ghifari;Farhan Rasyid;Denira Wiraguna;Michelle Ziudith
Balada Si Roy;2022;13+; Action, Drama            ;119;8,4;32;Fajar Nugros;Abidzar Al Ghifari;Febby Rastanty;Juan Bione Subiantoro;Lulu Tobing
Kenapa Gue?;2022;18+; Thriller            ;33;4,9;36;Dom Dharmo;Abidzar Al Ghifari;Omara N. Esteghlal;Aisyah Aqilah;Agnes Naomi
Cool Boy vs Cool Girl;2022;R13+; Romance            ;41;8,3;16;Annisa Meutia;Abidzar Al Ghifari;Rebecca Klopper;Ali Seggaf;Natasha Wilona
Mengitari Matahari;2019;13+; Short, Romance            ;5;9;24;Heru Ashari;Abigail Maramis;Ikrar Raja Bhakti Nusantara;;
Haji Backpacker;2014;13+; Adventure, Drama            ;107;6,6;32;Danial Rifki;Abimana Aryasatya;Dewi Sandra;Laudya Cynthia Bella;Laura Basuki
Belenggu;2012;13+; Horror, Mystery, Thriller            ;100;6,2;214;Upi Avianto;Abimana Aryasatya;Imelda Therinne;Laudya Cynthia Bella;Verdi Solaiman
Sabtu Bersama Bapak;2016;13+; Drama            ;100;7,4;334;Monty Tiwa;Abimana Aryasatya;Ira Wibowo;Arifin Putra;Deva Mahenra
Miracle: Menantang Maut;2007;SU; Horror, Thriller            ;98;3,7;19;Helfi C.H. Kardit;Abimana Aryasatya;Ivy Batuta;Nadila Ernesta;Lian Firman
12:00 A.M.;2005;13+; Drama, Horror, Mystery            ;105;3,5;37;Nayato Fio Nuala;Abimana Aryasatya;Olga Lydia;Rionaldo Stockhorst;Inong
The Big Four;2022;13+; Action, Comedy, Crime            ;141;4,9;25;Timo Tjahjanto;Abimana Aryasatya;Putri Marino;Lutesha;Arie Kriting
Gundala;2019;TV-14; Action, Adventure, Drama            ;123;6,1;5108;Joko Anwar;Abimana Aryasatya;Tara Basro;Bront Palarae;Ario Bayu
Warkop DKI Reborn: Jangkrik Boss Part 2;2017;13+; Adventure, Comedy            ;110;5,4;483;Anggy Umbara;Abimana Aryasatya;Vino G. Bastian;Tora Sudiro;Hannah Al Rashid
Warkop DKI Reborn: Jangkrik Boss Part 1;2016;13+; Adventure, Comedy            ;95;6,4;1189;Anggy Umbara;Abimana Aryasatya;Vino G. Bastian;Tora Sudiro;Indro Warkop
The Mother's Prayer (Doa Sang Ibu);2020;13+; Short, Drama            ;13;6,2;66;Rizal Mantovani;Abirama Putra A.;Ika Angel;Irving Artemas;Angga Ryan Putra
